Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Athene,F. Boie,Athene brama indica,Franklin,1831,Accepted as,Athene brama indica,"?????? ????? (Halder, 2010)","Spotted Owlet, Indian Spotted Owlet",21,Owl,Burrowing Owl,Resident,LC,Bangladesh,GBIF (2018); Halder (2010). p 120; IUCN (2018)
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Reichenbach,Australocorax,Lambrecht,Australocorax gregorii,De Vis,1905,Synonym for,Phalacrocorax carbo,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aviceda,Swainson,Aviceda jerdoni,Blyth,1842,Accepted as,Aviceda jerdoni,"???????? ??? (Halder, 2010)",Jerdon's Baza,48,Eagles,Baza,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 75; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aviceda,Swainson,Aviceda leuphotes,Dumont,1820,Accepted as,Aviceda leuphotes,"??????? (Halder, 2010)",Black Baza,33,Eagles,Baza,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 75; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Aythya,F. Boie,Aythya baeri,Radde,1863,Accepted as,Aythya baeri,"??????? ???????? (Halder, 2010)",Baer's Pochard,46,Ducks,Diving Duck,Migratory,CR,Bangladesh (Freshwater),BLI (2018); GBIF (2018); Halder (2010). p 37; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Aythya,F. Boie,Aythya ferina,Linnaeus,1758,Accepted as,Aythya ferina,"???? ???????? (Halder, 2010)",Common Pochard,48,Ducks,Diving Duck,Migratory,VU,"Bangladesh (Coast, Inland)",BLI (2018); GBIF (2018); Halder (2010). p 36; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Aythya,F. Boie,Aythya fuligula,Linnaeus,1758,Accepted as,Aythya fuligula,"???????? (Halder, 2010)",Tufted Duck,43,Ducks,Diving Duck,Migratory,LC,"Bangladesh (Haor, Chittagong)",BLI (2018); GBIF (2018); Halder (2010). p 37; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Aythya,F. Boie,Aythya nyroca,Guldenstadt,1770,Accepted as,Aythya nyroca,"????-?? ???????? (Halder, 2010)","Ferruginous Duck, Ferruginous Pochard, Common White-eye,  White-eyed Pochard",41,Ducks,Diving Duck,Migratory,NT,Bangladesh (Haor),BLI (2018); GBIF (2018); Halder (2010). p 36; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Bubo,Duméril,Bubo coromandus,Latham,1790,Accepted as,Bubo coromandus,"???? ?????????? (Halder, 2010)",Dusky Eagle Owl,58,Owl,Horned Owl,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 123; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Bubo,Duméril,Bubo ketupu,Horsfield,1821,Synonym for,Ketupa ketupu,,,,,,,,,GBIF (2018); Wikipedia (2018)
